Model,Features,CV_R2_mean,CV_R2_std,CV_MSE_mean,CV_MSE_std,CV_MAE_mean,CV_MAE_std,Train_R2
Decision Tree,All Features (12),0.6429554151336141,0.20109675864473697,0.0016533871970719552,0.0006162620027049035,0.02871159615505575,0.0058331903701911575,0.9189718770582925
Random Forest,All Features (12),0.8280102395171132,0.07148047166232518,0.0008557301070433919,0.0003697974515410782,0.020507804808226983,0.0047341437324329985,0.9513441122157384
Gradient Boosting,All Features (12),0.9133659370729889,0.04019108697216245,0.0004417461010771457,0.00023186066497936906,0.013958545883369634,0.0038903827476368417,0.9977382098029123
SVM (RBF),All Features (12),0.15193913667033832,0.4461964400068076,0.003807637287350193,0.0007677596328075319,0.05331230054831341,0.0057882312994961965,0.37560402406542814
KNN (k=5),All Features (12),0.7667993394579432,0.08136304542944268,0.0011868351390885066,0.0005645884757334612,0.022776285282285685,0.005390712658339479,1.0
Decision Tree,PCA (4 PCs),-0.16985061881606295,0.5977296840565975,0.005589308395724245,0.002122766184360839,0.0547652883354663,0.011130348799043718,0.5956213599790559
Random Forest,PCA (4 PCs),0.25181902593659616,0.2232127107362864,0.0038128955452532433,0.0016026124716861203,0.044211485285989144,0.010061893716859453,0.6958313854387104
Gradient Boosting,PCA (4 PCs),0.2562638933844199,0.2711967495291287,0.0036530849752563392,0.0013915834577241275,0.043655875248703874,0.009253408650716832,0.9260095955957836
SVM (RBF),PCA (4 PCs),0.18323844011827264,0.40925888894148055,0.0037823783296750445,0.0010117267587565189,0.05030504704108859,0.007497071509092497,0.4327577737830838
KNN (k=5),PCA (4 PCs),0.45443863207675617,0.17919361508373027,0.0028338657661799165,0.0013381136019258854,0.03584922182484465,0.009030246686062457,1.0
Decision Tree,RFE Top-5,0.6677850352692432,0.2636903339565683,0.001511311260664754,0.0006809739888750925,0.02739085089286064,0.005867550172982837,0.9154854877599248
Random Forest,RFE Top-5,0.844716077334407,0.067267122367224,0.0007707402214780579,0.00033543114957313645,0.019486434252935784,0.004513355518308137,0.9533333875796636
Gradient Boosting,RFE Top-5,0.929151239513253,0.033113332309791015,0.0003567647764328104,0.00018347777581356883,0.012968176594888714,0.003334614965773459,0.9973489883771629
SVM (RBF),RFE Top-5,0.3473898186068489,0.3221475830160131,0.0029665256102852254,0.0006957352730349989,0.04716489622244233,0.005298144231637353,0.5094145674711321
KNN (k=5),RFE Top-5,0.9057590344858403,0.04033413767265495,0.00047967838520620177,0.00024834853417610755,0.014750814203969478,0.0036265737968703155,1.0
